Album,Artist,Song,Year
1984 Shakin,Cliff Richard,Baby You're Dynamite,84
1984 Shakin,Daryl Hall & John Oates,Say It Isn't So,84
1984 Shakin,Dear Enemy,Computer One,84
1984 Shakin,Duran Duran,Union Of The Snake,84
1984 Shakin,Eurythmics,Right By Your Side,84
1984 Shakin,Hoodoo Gurus,My Girl,84
1984 Shakin,Huey Lewis & The News,Heart And Soul,84
1984 Shakin,Kids In The Kitchen,Change In Mood,84
1984 Shakin,Olivia Newton-John,Twist Of Fate,84
1984 Shakin,Pat Benatar,Love Is A Battlefield,84
1984 Shakin,Pseudo Echo,Listening,84
1984 Shakin,Q E D,Everywhere I Go,84
1984 Shakin,Real Life,Catch Me I'm Falling,84
1984 Shakin,The Little Heroes,Bon Voyage,84
1984 Shakin,Tim Finn,Staring At The Embers,84
1984 Shakin,Tina Turner,Let's Stay Together,84
1984 Shakin,Venetians,Chinese I's (Here Comes The Minute Man),84
1984 The Beat,Billy Idol,Rebel Yell,84
1984 The Beat,Break Machine,Street Dance,84
1984 The Beat,Dear Enemy,The Good Life,84
1984 The Beat,Debbie Harry,Rush Rush,84
1984 The Beat,Duran Duran,New Moon On Monday,84
1984 The Beat,Eurythmics,Here Comes The Rain Again,84
1984 The Beat,Frankie Goes To Hollywood,Relax,84
1984 The Beat,Hall & Oates,Adult Education,84
1984 The Beat,Hoodoo Gurus,I Want You Back,84
1984 The Beat,Jane Clifton,Girl On The Wall,84
1984 The Beat,Kenny Rogers & Dolly Parton,Islands In The Stream,84
1984 The Beat,Mel Brooks,To Be Or Not To Be (The Hitler Rap),84
1984 The Beat,Queen,Radio Ga Ga,84
1984 The Beat,Re-Flex,Politics Of Dancing,84
1984 The Beat,Rolling Stones,She Was Hot,84
1984 The Beat,Split Enz,Message To My Girl,84
1984 The Beat,Thomas Dolby,Hyperactive,84
1984 The Beat,Thompson Twins,Hold Me Now,84
1984 The Music,Bananarama,Robert De Niro's Waiting,84
1984 The Music,Billy Idol,Eyes Without A Face,84
1984 The Music,Depeche Mode,People Are People,84
1984 The Music,Duran Duran,The Reflex,84
1984 The Music,Frankie Goes To Hollywood,Two Tribes,84
1984 The Music,Huey Lewis & The News,I Want A New Drug,84
1984 The Music,Joe Jackson,Happy Ending,84
1984 The Music,Kids In The Kitchen,Bitter Desire,84
1984 The Music,Pointer Sisters,Automatic,84
1984 The Music,Pseudo Echo,A Beat For You,84
1984 The Music,Queen,I Want To Break Free,84
1984 The Music,Slade,Run Runaway,84
1984 The Music,Snowy White,Bird Of Paradise,84
1984 The Music,The Radiators,Revolution,84
1984 The Music,The Takeaways,Sweet And Sour,84
1984 The Music,The Twins,Not The Loving Kind,84
1984 The Music,Thompson Twins,Doctor! Doctor!,84
1984 The Music,Vicki Sue Robinson,To Sir With Love,84
Hits Huge 84,Berlin,No More Words,84
Hits Huge 84,Culture Club,Miss Me Blind,84
Hits Huge 84,Cyndi Lauper,Time After Time,84
Hits Huge 84,Dragon,Cry,84
Hits Huge 84,Electric Pandas,Big Girls,84
Hits Huge 84,Elton John,Sad Songs,84
Hits Huge 84,Eurogliders,Heaven (Must Be There),84
Hits Huge 84,Howard Jones,What Is Love,84
Hits Huge 84,Icehouse,Taking The Town,84
Hits Huge 84,INXS,I Send A Message,84
Hits Huge 84,Irene Cara,Breakdance,84
Hits Huge 84,Madonna,Holiday,84
Hits Huge 84,Nik Kershaw,Wouldn't It Be Good,84
Hits Huge 84,Ollie & Jerry,Breakin'...There's No Stopping Us,84
Hits Huge 84,Redgum,I've Been To Bali Too,84
Hits Huge 84,Steve Perry,Oh Sherrie,84
Hits Huge 84,Wang Chung,Dance Hall Days,84
Hits Huge 84,Wham!,Wake Me Up Before You Go-Go,84
The Long Hit Summer,Sade,Smooth Operator,84
The Long Hit Summer,Wham!,Freedom,84
The Long Hit Summer,Paul Young,I'm Gonna Tear Your Playhouse Down,84
The Long Hit Summer,Alison Moyet,All Cried Out,84
The Long Hit Summer,Bruce Springsteen,Cover Me,84
The Long Hit Summer,Freddie Mercury,Love Kills,84
The Long Hit Summer,Herbie Hancock,Hardrock,84
The Long Hit Summer,Eurogliders,Someone,84
The Long Hit Summer,Toto,Stranger In Town,84
The Long Hit Summer,Scandal,The Warrior,84
The Long Hit Summer,The Stranglers,Skin Deep,84
The Long Hit Summer,Romeo Void,A Girl In Trouble (Is A Temporary Thing),84
The Long Hit Summer,Billy Joel,Keeping The Faith,84
The Long Hit Summer,Cyndi Lauper,All Through The Night,84
The Long Hit Summer,Barbra Streisand,Left In The Dark,84
The Long Hit Summer,The Jacksons,Body,84
Throbbin' 84,Bette Midler,Beast Of Burden,84
Throbbin' 84,Big Country,In A Big Country,84
Throbbin' 84,Cyndi Lauper,Girls Just Want To Have Fun,84
Throbbin' 84,Elton John,Kiss The Bride,84
Throbbin' 84,INXS,Original Sin,84
Throbbin' 84,Lionel Richie,All Night Long (All Night),84
Throbbin' 84,Marilyn,Calling Your Name,84
Throbbin' 84,Matthew Wilder,Break My Stride,84
Throbbin' 84,Mi-Sex,Blue Day,84
Throbbin' 84,Michael Jackson,Thriller,84
Throbbin' 84,Mondo Rock,Come Said The Boy,84
Throbbin' 84,Paul Young,Love Of The Common People,84
Throbbin' 84,Quiet Riot,Cum On Feel The Noize,84
Throbbin' 84,Sandii & The Sunsetz,Sticky Music,84
Throbbin' 84,The Cure,The Love Cats,84
Throbbin' 84,The Romantics,Talking In Your Sleep,84
Throbbin' 84,The S.O.S. Band,Just Be Good To Me,84
Throbbin' 84,Van Halen,Jump,84
1985 Comes Alive,Bananarama,Cruel Summer,85
1985 Comes Alive,Billy Ocean,Caribbean Queen (No More Love On The Run),85
1985 Comes Alive,Corey Hart,It Ain't Enough,85
1985 Comes Alive,Duran Duran,Wild Boys,85
1985 Comes Alive,Eurythmics,Sexcrime (Nineteen Eighty Four),85
1985 Comes Alive,Frankie Goes To Hollywood,The Power Of Love,85
1985 Comes Alive,George Smilovici,I'm Tuff,85
1985 Comes Alive,Huey Lewis & The News,If This Is It,85
1985 Comes Alive,Limahl,The Never Ending Story,85
1985 Comes Alive,Masquerade,Guardian Angel,85
1985 Comes Alive,Murray Head,One Night In Bangkok,85
1985 Comes Alive,Pat Benatar,We Belong,85
1985 Comes Alive,Sheena Easton,Strut,85
1985 Comes Alive,Solid Citizens,Singing In The Shower,85
1985 Comes Alive,The Models,Big On Love,85
1985 Comes Alive,The Radiators,Life's A Gamble,85
1985 Comes Alive,Tina Turner,Private Dancer,85
1985 Comes Alive,U2,The Unforgettable Fire,85
1985 Hottest On Record,Aretha Franklin,Freeway Of Love,85
1985 Hottest On Record,Bryan Adams,Heaven,85
1985 Hottest On Record,Corey Hart,Never Surrender,85
1985 Hottest On Record,DeBarge,Who's Holding Donna Now,85
1985 Hottest On Record,Do Re Mi,Idiot Grin,85
1985 Hottest On Record,Eurythmics,There Must Be An Angel (Playing With My Heart),85
1985 Hottest On Record,Go West,Call Me,85
1985 Hottest On Record,Hoodoo Gurus,Bittersweet,85
1985 Hottest On Record,Huey Lewis & The News,Power Of Love,85
1985 Hottest On Record,Kim Carnes,Crazy In The Night (Barking At Airplanes),85
1985 Hottest On Record,Models,Out Of Mind Out Of Sight,85
1985 Hottest On Record,Philip Oakey & Giorgio Moroder,Goodbye Bad Times,85
1985 Hottest On Record,Phyllis Nelson,Move Closer (New Mix Edit),85
